Date,Open,High,Low,Close,Adj Close,Volume
2016-04-19,81.489998,84.440002,81.489998,82.800003,72.296417,13954750
2016-04-20,82.019997,84.080002,82.000000,83.879997,73.239410,10336820
2016-04-21,84.459999,84.919998,81.989998,82.949997,72.427376,20430400
2016-04-22,82.970001,84.349998,82.300003,84.080002,73.414040,10932900
2016-04-25,83.620003,84.180000,82.750000,82.849998,72.340073,7720400
2016-04-26,82.900002,82.900002,80.839996,82.370003,71.920967,11304301
2016-04-27,82.610001,84.000000,82.309998,83.089996,72.549622,10660200
2016-04-28,83.300003,84.529999,82.559998,83.910004,73.265610,10463700
2016-04-29,83.980003,84.989998,83.000000,84.000000,73.344185,13425700
2016-05-04,82.500000,83.300003,81.279999,82.080002,71.667755,6393600
2016-05-05,82.160004,83.250000,81.919998,82.500000,72.034470,4992300
2016-05-06,81.720001,83.169998,81.220001,82.779999,72.278946,6394700
2016-05-10,82.040001,83.160004,81.239998,82.250000,71.816185,4972000
2016-05-11,82.400002,84.000000,81.480003,84.000000,73.344185,7072000
2016-05-12,84.000000,84.680000,82.599998,83.080002,72.540894,6544900
2016-05-13,83.169998,83.480003,81.550003,83.099998,72.558350,5576500
2016-05-16,83.830002,84.500000,83.250000,83.720001,73.099701,3388700
2016-05-17,84.000000,84.239998,82.370003,83.830002,73.195755,6619721
2016-05-18,83.500000,84.389999,83.129997,84.050003,73.387848,5054501
2016-05-19,83.150002,83.639999,82.000000,82.070000,71.659012,11100700
2016-05-20,82.709999,83.000000,81.800003,82.919998,72.401192,8929400
2016-05-23,82.389999,82.849998,81.709999,82.599998,72.121780,2994000
2016-05-24,82.550003,84.000000,82.250000,83.430000,72.846497,4474447
2016-05-25,84.150002,85.610001,84.089996,84.900002,74.130020,11923500
2016-05-26,85.790001,87.699997,84.699997,87.400002,76.312881,17743100
2016-05-27,87.050003,89.169998,86.739998,88.559998,77.325729,16260805
2016-05-30,88.660004,89.910004,87.980003,89.830002,78.434624,8836700
2016-05-31,90.050003,93.440002,88.959999,91.500000,79.892776,34638400
2016-06-01,91.230003,92.199997,90.830002,90.860001,79.333961,14172300
2016-06-02,90.629997,91.400002,89.449997,91.250000,79.674484,8325200
2016-06-03,91.599998,91.910004,89.889999,90.239998,78.792603,7683600
2016-06-06,90.610001,92.500000,90.610001,92.139999,80.451591,9209600
2016-06-07,92.019997,97.489998,91.919998,97.209999,84.878433,20885000
2016-06-08,97.900002,99.230003,96.300003,97.440002,85.079262,13106700
2016-06-09,97.440002,98.199997,95.849998,97.779999,85.376122,7553900
