Time,MOEX,LKOH,SBER,GAZP,NVTK
14:15:22,269275.000000,5131.500000,247.550000,231.910000,1294.800000
14:16:22,269275.000000,5130.000000,247.500000,231.890000,1295.000000
14:17:23,269275.000000,5133.500000,247.450000,231.900000,1295.000000
14:18:23,269275.000000,5134.000000,247.400000,231.980000,1295.000000
14:19:22,269275.000000,5134.000000,247.300000,231.900000,1295.000000
14:20:23,269150.000000,5134.000000,247.390000,231.970000,1295.000000
14:21:23,269150.000000,5135.000000,247.290000,231.810000,1295.000000
14:22:23,269150.000000,5132.000000,247.160000,231.800000,1295.000000
14:23:23,269150.000000,5133.000000,247.380000,231.890000,1295.000000
14:24:23,269150.000000,5130.000000,247.370000,231.840000,1294.800000
14:25:23,269200.000000,5131.000000,247.530000,231.800000,1294.800000
14:26:23,269125.000000,5132.000000,247.460000,231.640000,1294.800000
14:27:23,269125.000000,5131.000000,247.410000,231.670000,1295.000000
14:28:23,269150.000000,5131.000000,247.410000,231.830000,1295.000000
14:29:23,269150.000000,5132.500000,247.320000,231.790000,1295.000000
14:30:23,269150.000000,5130.000000,247.350000,232.250000,1295.000000
14:31:23,269300.000000,5130.000000,247.450000,232.390000,1295.000000
14:32:23,269300.000000,5131.500000,247.410000,232.110000,1295.000000
14:33:23,269150.000000,5130.000000,247.340000,232.030000,1295.000000
14:34:23,269150.000000,5128.500000,247.230000,232.110000,1295.000000
14:35:23,269150.000000,5128.000000,247.230000,232.200000,1295.000000
14:36:23,269150.000000,5129.500000,247.450000,232.170000,1295.000000
14:37:23,269150.000000,5129.500000,247.430000,232.150000,1295.000000
14:38:23,269150.000000,5129.500000,247.400000,232.090000,1295.000000
14:39:23,269225.000000,5130.500000,247.540000,232.100000,1295.400000
14:40:23,269200.000000,5129.500000,247.480000,232.050000,1295.400000
14:41:23,269225.000000,5129.500000,247.440000,232.100000,1295.000000
14:42:23,269275.000000,5130.000000,247.560000,232.110000,1295.000000
14:43:23,269300.000000,5129.000000,247.570000,232.000000,1295.200000
14:44:23,269250.000000,5130.000000,247.510000,232.030000,1295.200000
14:45:23,269225.000000,5131.500000,247.460000,232.000000,1295.600000
14:46:23,269225.000000,5130.500000,247.400000,232.010000,1295.400000
14:47:22,269125.000000,5126.500000,247.490000,231.980000,1295.000000
14:48:23,269200.000000,5126.500000,247.460000,232.020000,1295.400000
14:49:23,269225.000000,5126.500000,247.430000,232.000000,1295.000000
14:50:23,269225.000000,5123.000000,247.350000,231.970000,1295.000000
14:51:23,269150.000000,5119.000000,247.340000,232.000000,1295.000000
14:52:23,269150.000000,5120.000000,247.440000,231.990000,1295.600000
14:53:24,269150.000000,5120.500000,247.370000,231.990000,1295.000000
14:54:23,269125.000000,5117.500000,247.390000,231.950000,1295.000000
14:55:23,269175.000000,5115.500000,247.560000,231.990000,1295.000000
14:56:24,269175.000000,5119.500000,247.510000,232.030000,1295.000000
14:57:24,269175.000000,5119.500000,247.490000,232.080000,1295.000000
14:58:24,269175.000000,5118.500000,247.410000,232.100000,1295.000000
14:59:24,269100.000000,5118.500000,247.420000,231.930000,1295.000000
15:00:24,269075.000000,5116.500000,247.480000,231.960000,1295.200000
15:01:24,269075.000000,5118.000000,247.670000,231.910000,1295.600000
15:02:24,268950.000000,5117.500000,247.530000,231.800000,1295.600000
15:03:24,268950.000000,5118.500000,247.490000,231.820000,1295.000000
15:04:24,269100.000000,5124.000000,247.580000,232.050000,1295.000000
15:05:24,269100.000000,5124.500000,247.460000,232.120000,1295.000000
15:06:24,269100.000000,5127.500000,247.500000,232.150000,1295.000000
15:07:24,269200.000000,5131.000000,247.520000,232.160000,1295.200000
15:08:24,269175.000000,5133.000000,247.440000,232.150000,1295.000000
15:09:24,269125.000000,5130.000000,247.450000,232.110000,1295.200000
15:10:24,269200.000000,5131.500000,247.490000,232.080000,1295.400000
15:11:24,269200.000000,5130.500000,247.470000,232.010000,1295.000000
15:12:24,269150.000000,5132.000000,247.470000,232.060000,1295.200000
15:13:24,269200.000000,5133.000000,247.450000,232.080000,1295.000000
15:14:24,269200.000000,5133.000000,247.560000,232.000000,1295.400000
15:15:24,269350.000000,5133.500000,247.780000,232.080000,1295.200000
15:16:24,269200.000000,5133.500000,247.750000,232.000000,1295.600000
15:17:24,269200.000000,5132.500000,247.890000,232.120000,1295.600000
15:18:24,269225.000000,5130.000000,248.010000,232.050000,1295.400000
15:19:24,269225.000000,5130.500000,248.000000,232.100000,1295.800000
15:20:24,269200.000000,5130.000000,247.850000,232.010000,1295.400000
15:21:24,269250.000000,5130.000000,247.990000,232.040000,1295.400000
15:22:24,269225.000000,5130.500000,248.000000,232.060000,1296.000000
15:23:24,269275.000000,5133.000000,248.020000,232.070000,1295.600000
15:24:25,269225.000000,5134.000000,248.060000,232.060000,1295.600000
15:25:24,269200.000000,5134.000000,248.000000,232.050000,1295.600000
15:26:25,269275.000000,5129.500000,248.070000,232.060000,1295.600000
15:27:24,269250.000000,5130.000000,248.000000,232.040000,1295.600000
15:28:24,269250.000000,5130.500000,247.990000,232.020000,1296.000000
15:29:25,269300.000000,5130.500000,248.200000,232.030000,1296.000000
15:30:18,269275.000000,5130.000000,248.270000,231.590000,1295.200000
15:31:25,269300.000000,5133.000000,248.260000,231.950000,1295.000000
15:32:25,269150.000000,5133.500000,248.070000,231.800000,1295.000000
15:33:25,269075.000000,5126.500000,248.080000,231.790000,1294.800000
15:34:25,268950.000000,5127.000000,247.570000,231.800000,1294.200000
15:35:25,268975.000000,5128.000000,247.720000,231.710000,1295.000000
15:36:25,268825.000000,5129.000000,247.140000,231.800000,1295.000000
15:37:25,268800.000000,5127.000000,246.960000,231.700000,1295.200000
15:38:25,268825.000000,5124.000000,246.870000,231.650000,1295.000000
15:39:25,268825.000000,5124.000000,246.990000,231.790000,1295.000000
15:40:24,268900.000000,5125.500000,247.020000,231.600000,1295.800000
15:41:25,268850.000000,5125.000000,247.060000,231.670000,1295.600000
15:42:25,268900.000000,5126.500000,247.090000,231.550000,1295.200000
15:43:25,268950.000000,5127.500000,247.150000,231.700000,1295.200000
15:44:25,269025.000000,5133.000000,247.150000,231.770000,1295.600000
15:45:25,268900.000000,5127.500000,247.120000,231.700000,1295.400000
15:46:25,268950.000000,5131.500000,247.130000,231.750000,1295.400000
15:47:25,268975.000000,5127.000000,247.120000,231.650000,1295.400000
15:48:25,269025.000000,5127.500000,247.400000,231.670000,1295.800000
15:49:25,268950.000000,5127.500000,247.300000,231.600000,1295.600000
15:50:25,269150.000000,5129.000000,247.500000,231.760000,1296.200000
15:51:25,269300.000000,5134.000000,247.680000,231.780000,1297.600000
15:52:25,269275.000000,5135.000000,247.700000,231.770000,1297.200000
15:53:21,269325.000000,5131.000000,248.000000,231.790000,1297.200000
15:54:25,269375.000000,5131.500000,248.000000,231.840000,1297.000000
15:55:25,269350.000000,5124.500000,248.010000,231.920000,1297.600000
15:56:25,269325.000000,5128.000000,248.070000,231.950000,1297.600000
15:57:26,269425.000000,5130.500000,248.150000,231.860000,1298.800000
15:58:26,269375.000000,5133.500000,248.100000,231.910000,1298.800000
15:59:26,269350.000000,5133.000000,248.040000,231.860000,1296.200000
16:00:24,269300.000000,5133.500000,247.880000,231.730000,1295.000000
16:01:24,269300.000000,5133.500000,247.880000,231.730000,1295.000000
16:02:24,269300.000000,5133.500000,247.880000,231.730000,1295.000000
