ISIN;Name;Price;Nominal;Coupon;ACI;Coupon_date;Coupon_days;Expiration_date
RU000A0JWUX9;АльфаБО-17;102.45;1000;47.37;22.12;01.10.2019;182;16.09.2031
RU000A0JX5W4;АльфаБО-18;101;1000;47.12;40.39;22.07.2019;182;05.01.2032
RU000A0JXQX5;АльфаБО-19;100.98;1000;24.93;6.44;08.11.2019;182;08.05.2020
RU000A0JXRV7;АльфаБО-20;100.65;1000;43.38;6.91;26.11.2019;182;11.05.2032
RU000A0ZYBM4;АльфаБО-21;100.28;1000;41.86;18.99;04.10.2019;183;13.10.2032
RU000A0ZYGB6;АльфаБО-22;100.44;1000;40.61;6.88;25.11.2019;183;04.12.2032
RU000A0JUJW8;АрчерФин01;81.63;1000;1042.97;180.16;23.03.2027;3458;23.03.2027
RU000A0JW167;АтомэнпБО7;107.4;1000;55.35;1.52;20.12.2019;182;12.12.2025
RU000A0JW175;АтомэнпБО8;109.82;1000;55.35;1.52;20.12.2019;182;12.12.2025
RU000A0JUQC5;АшинМЗ_БО1;81.1;1000;44.88;0.49;23.12.2019;182;17.06.2024
RU000A100A33;БКЕ_БО_1P2;100.6;1000;42.87;14.99;23.10.2019;183;23.04.2022
RU000A100G03;БКЕ_БО_1P3;100.35;1000;42.12;1.84;18.12.2019;183;18.06.2023
RU000A0JV3U5;БКЗФин_01;85;1000;359.01;90.58;15.12.2023;2184;06.12.2030
RU000A0ZYR18;БСК_1P1;99.1;1000;20.19;11.98;02.08.2019;91;27.01.2023
RU000A100535;БЭЛТИ_БОП1;100.25;1000;34.9;8.44;03.09.2019;91;01.03.2022
RU000A0JUQ13;БалтЛиз1;100.3;700;0.02;0;20.09.2019;91;19.06.2020
RU000A0JV8U4;БалтЛизБО1;107;1000;32.29;14.19;16.08.2019;91;12.02.2021
RU000A0JVRM0;БалтЛизБО2;100.29;500;13.09;2.88;05.09.2019;91;02.09.2021
RU000A0JVLH3;БалтЛизБО3;104.99;625;21.04;19.19;04.07.2019;91;01.07.2021
RU000A0JXT17;БалтЛизБП1;101.3;670;18.96;4.17;05.09.2019;91;04.06.2020
RU000A0ZZQU2;БанкГПБ1Р1;0;1000;44.87;14.96;26.10.2019;183;26.10.2023
RU000A0ZZUL3;БанкГПБ1Р2;0;1000;45.12;9.07;20.11.2019;184;20.11.2023
RU000A0JV0N6;БанкДРФБ02;93.85;1000;0;0;22.11.2019;182;22.11.2019
RU000A0JV565;БанкДРФБ03;100.72;1000;40.89;35.95;18.07.2019;182;16.01.2020
RU000A0JV6D4;БанкДРФБ04;101.3;1000;40.89;35.05;22.07.2019;182;20.01.2020
RU000A0JU674;Башкорт8об;100.45;400;7.73;0.42;20.09.2019;91;18.09.2020
RU000A0JS3U0;Башнефть04;100.51;1000;34.9;26.47;09.08.2019;182;04.02.2022
RU000A0JTM28;Башнефть06;98.38;1000;38.39;29.75;06.08.2019;182;31.01.2023
RU000A0JTM36;Башнефть07;100.7;1000;44.13;34.19;06.08.2019;182;31.01.2023
RU000A0JTM44;Башнефть08;99.15;1000;38.39;29.75;06.08.2019;182;31.01.2023
RU000A0JTM51;Башнефть09;100.75;1000;44.13;34.19;06.08.2019;182;31.01.2023
RU000A0JX2P5;БашнфБ1P1R;0;1000;47.37;1.56;19.12.2019;182;12.12.2024
RU000A0JX2X9;БашнфБ1P2R;102.4;1000;47.37;1.56;19.12.2019;182;14.12.2023
RU000A0JX9X4;БашнфБ1P3R;0;1000;46.87;38.37;29.07.2019;182;22.01.2024
RU000A0JX2Q3;БашнфтБО10;0;1000;47.37;1.56;19.12.2019;182;10.12.2026
RU000A0JWH87;БашнфтБО2;0;1000;52.36;10.36;19.11.2019;182;12.05.2026
RU000A0JVEQ9;БашнфтБО3;0;1000;59.84;13.15;15.11.2019;182;09.05.2025
RU000A0JVFD4;БашнфтБО4;0;1000;59.84;9.86;25.11.2019;182;19.05.2025
RU000A0JUML5;БашнфтБО5;102.19;1000;39.14;7.96;18.11.2019;182;13.05.2024
RU000A0JWGC2;БашнфтБО6;108.05;1000;54.35;14.63;06.11.2019;182;29.04.2026
RU000A0JVHF5;БашнфтБО7;0;1000;60.33;4.97;10.12.2019;182;03.06.2025
RU000A0JWGD0;БашнфтБО8;111.6;1000;54.35;14.63;06.11.2019;182;29.04.2026
RU000A0JWX04;БашнфтБО9;106.8;1000;46.37;15.8;24.10.2019;182;15.10.2026
RU000A0JU286;БелгОб2013;100.16;400;8.28;5.18;30.07.2019;91;28.07.2020
RU000A0JUQB7;БелгОб2014;105.22;50;1.33;0.03;23.09.2019;91;21.06.2021
RU000A0JVL33;БелгОб2015;102.99;300;9.46;8.84;02.07.2019;91;30.06.2020
RU000A0JWKB6;БелгОб2016;103.89;1000;24.46;4.03;10.09.2019;91;08.06.2021
RU000A0JXTW1;БелгОб2017;100.1;1000;20.57;1.81;17.09.2019;91;11.06.2024
RU000A0JVG89;БелугаБО-4;101.02;500;24.31;3.61;28.11.2019;182;28.05.2020
